case	ecli	celex
C-778/18	ECLI:EU:C:2020:831	62018CJ0778
C-807/18	ECLI:EU:C:2020:708	62018CJ0807
C-824/18	ECLI:EU:C:2021:153	62018CJ0824
C-2/19	ECLI:EU:C:2020:237	62019CJ0002
C-21/19	ECLI:EU:C:2020:636	62019CJ0021
C-24/19	ECLI:EU:C:2020:503	62019CJ0024
C-59/19	ECLI:EU:C:2020:950	62019CJ0059
C-74/19	ECLI:EU:C:2020:460	62019CJ0074
C-80/19	ECLI:EU:C:2020:569	62019CJ0080
C-86/19	ECLI:EU:C:2020:538	62019CJ0086
C-95/19	ECLI:EU:C:2021:128	62019CJ0095
C-107/19	ECLI:EU:C:2021:722	62019CJ0107
C-112/19	ECLI:EU:C:2020:864	62019CJ0112
C-128/19	ECLI:EU:C:2021:401	62019CJ0128
C-129/19	ECLI:EU:C:2020:566	62019CJ0129
C-186/19	ECLI:EU:C:2020:638	62019CJ0186
C-194/19	ECLI:EU:C:2021:270	62019CJ0194
C-300/19	ECLI:EU:C:2020:898	62019CJ0300
C-311/19	ECLI:EU:C:2020:981	62019CJ0311
C-312/19	ECLI:EU:C:2020:711	62019CJ0312
C-321/19	ECLI:EU:C:2020:866	62019CJ0321
C-331/19	ECLI:EU:C:2020:786	62019CJ0331
C-335/19	ECLI:EU:C:2020:829	62019CJ0335
C-357/19	ECLI:EU:C:2021:1034	62019CJ0357
C-360/19	ECLI:EU:C:2020:805	62019CJ0360
C-383/19	ECLI:EU:C:2021:337	62019CJ0383
C-398/19	ECLI:EU:C:2020:1032	62019CJ0398
C-428/19	ECLI:EU:C:2021:548	62019CJ0428
C-433/19	ECLI:EU:C:2020:900	62019CJ0433
C-437/19	ECLI:EU:C:2021:953	62019CJ0437
C-439/19	ECLI:EU:C:2021:504	62019CJ0439
C-441/19	ECLI:EU:C:2021:9	62019CJ0441
C-456/19	ECLI:EU:C:2020:813	62019CJ0456
C-463/19	ECLI:EU:C:2020:932	62019CJ0463
C-490/19	ECLI:EU:C:2020:1043	62019CJ0490
C-495/19	ECLI:EU:C:2020:431	62019CJ0495
C-504/19	ECLI:EU:C:2021:335	62019CJ0504
C-540/19	ECLI:EU:C:2020:732	62019CJ0540
C-570/19	ECLI:EU:C:2021:664	62019CJ0570
C-598/19	ECLI:EU:C:2021:810	62019CJ0598
C-625/19	ECLI:EU:C:2019:1078	62019CJ0625
C-627/19	ECLI:EU:C:2019:1079	62019CJ0627
C-637/19	ECLI:EU:C:2020:863	62019CJ0637
C-673/19	ECLI:EU:C:2021:127	62019CJ0673
C-707/19	ECLI:EU:C:2021:405	62019CJ0707
C-726/19	ECLI:EU:C:2021:439	62019CJ0726
C-758/19	ECLI:EU:C:2021:603	62019CJ0758
C-800/19	ECLI:EU:C:2021:489	62019CJ0800
C-819/19	ECLI:EU:C:2021:904	62019CJ0819
C-825/19	ECLI:EU:C:2021:869	62019CJ0825
C-836/19	ECLI:EU:C:2021:668	62019CJ0836
C-846/19	ECLI:EU:C:2021:277	62019CJ0846
C-896/19	ECLI:EU:C:2021:311	62019CJ0896
C-901/19	ECLI:EU:C:2021:472	62019CJ0901
C-906/19	ECLI:EU:C:2021:715	62019CJ0906
C-923/19	ECLI:EU:C:2021:475	62019CJ0923
C-930/19	ECLI:EU:C:2021:657	62019CJ0930
C-6/20	ECLI:EU:C:2021:402	62020CJ0006
C-9/20	ECLI:EU:C:2022:88	62020CJ0009
C-13/20	ECLI:EU:C:2021:811	62020CJ0013
C-28/20	ECLI:EU:C:2021:226	62020CJ0028
C-30/20	ECLI:EU:C:2021:604	62020CJ0030
